Source.Name,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 0:00,2020,1,1,12:00:00 AM,0.2,,-3.7,,75,,25,,35,,16.1,,99.3,,,,,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 1:00,2020,1,1,1:00:00 AM,0.1,,-4,,74,,25,,34,,16.1,,99.33,,,,,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 2:00,2020,1,1,2:00:00 AM,0,,-3.9,,75,,25,,34,,16.1,,99.36,,,,-7,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 3:00,2020,1,1,3:00:00 AM,-0.2,,-4.3,,74,,25,,32,,16.1,,99.4,,,,-7,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 4:00,2020,1,1,4:00:00 AM,-0.2,,-4.1,,75,,25,,28,,16.1,,99.45,,,,-7,,Snow
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 5:00,2020,1,1,5:00:00 AM,-0.2,,-4.3,,74,,25,,32,,16.1,,99.44,,,,-7,,Snow
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 6:00,2020,1,1,6:00:00 AM,-0.3,,-4,,76,,25,,32,,16.1,,99.49,,,,-7,,Snow
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 7:00,2020,1,1,7:00:00 AM,-0.3,,-4.3,,75,,25,,30,,16.1,,99.53,,,,-7,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 8:00,2020,1,1,8:00:00 AM,-0.3,,-4.5,,73,,25,,28,,16.1,,99.61,,,,-7,,NA
en_climate_hourly_ON_6158359_01-2020_P1H.csv,-79.4,43.63,TORONTO CITY CENTRE,6158359,2020-01-01 9:00,2020,1,1,9:00:00 AM,-0.3,,-3.8,,77,,25,,28,,16.1,,99.67,,,,-7,,NA
